"","Var1","Var2","value"
"87","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"88","scored_sub_Master.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"89","scored_sub_Doc.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"90","chiValues","Q38_Resources...Access.to.Quality.Exercises..Content",1
"91","scored_sub_Assoc.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7
"92","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",9
"93","scored_sub_Master.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",6
"94","scored_sub_Doc.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",10
"95","chiValues","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0.781609195402299
"96","scored_sub_Assoc.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",8
"97","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",1
"98","scored_sub_Master.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"99","scored_sub_Doc.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"100","chiValues","Q38_Resources...Access.to.Approp.Introductory.Content",0.0279860069965017
"101","scored_sub_Assoc.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"102","scored_sub_Bacca.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"103","scored_sub_Master.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",4
"104","scored_sub_Doc.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",2
"105","chiValues","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",0.7976011994003
"106","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Funding",3
"107","scored_sub_Bacca.1.34.","Q38_Resource.Issues...Funding",1
"108","scored_sub_Master.1.34.","Q38_Resource.Issues...Funding",1
"109","scored_sub_Doc.1.34.","Q38_Resource.Issues...Funding",3
"110","chiValues","Q38_Resource.Issues...Funding",0.673163418290855
"111","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",4
"112","scored_sub_Bacca.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",1
"113","scored_sub_Master.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",1
"114","scored_sub_Doc.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",3
"115","chiValues","Q38_Resource.Issues...Not.available.in.course.textbook",0.491754122938531
"116","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",1
"117","scored_sub_Bacca.1.34.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",3
"118","scored_sub_Master.1.34.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",0
"119","scored_sub_Doc.1.34.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",1
"120","chiValues","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",0.39480259870065
"121","scored_sub_Assoc.1.34.","Q38_Resource.Issues..TA.s.lack.approp.skils",0
"122","scored_sub_Bacca.1.34.","Q38_Resource.Issues..TA.s.lack.approp.skils",0
"123","scored_sub_Master.1.34.","Q38_Resource.Issues..TA.s.lack.approp.skils",0
"124","scored_sub_Doc.1.34.","Q38_Resource.Issues..TA.s.lack.approp.skils",1
"125","chiValues","Q38_Resource.Issues..TA.s.lack.approp.skils",1
"126","scored_sub_Assoc.1.34.","Q38_Student.Issues...General",19
"127","scored_sub_Bacca.1.34.","Q38_Student.Issues...General",9
"128","scored_sub_Master.1.34.","Q38_Student.Issues...General",11
"129","scored_sub_Doc.1.34.","Q38_Student.Issues...General",15
"130","chiValues","Q38_Student.Issues...General",0.245877061469265
"131","scored_sub_Assoc.1.34.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",18
"132","scored_sub_Bacca.1.34.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",4
"133","scored_sub_Master.1.34.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",10
"134","scored_sub_Doc.1.34.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",13
"135","chiValues","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",0.0254872563718141
"136","scored_sub_Assoc.1.34.","Q38_Student.Issues...Lack.of.interest.in.topic",2
"137","scored_sub_Bacca.1.34.","Q38_Student.Issues...Lack.of.interest.in.topic",5
"138","scored_sub_Master.1.34.","Q38_Student.Issues...Lack.of.interest.in.topic",1
"139","scored_sub_Doc.1.34.","Q38_Student.Issues...Lack.of.interest.in.topic",2
"140","chiValues","Q38_Student.Issues...Lack.of.interest.in.topic",0.444277861069465
"141","scored_sub_Assoc.1.34.","Q38_Facilities.Issues...General",4
"142","scored_sub_Bacca.1.34.","Q38_Facilities.Issues...General",4
"143","scored_sub_Master.1.34.","Q38_Facilities.Issues...General",4
"144","scored_sub_Doc.1.34.","Q38_Facilities.Issues...General",6
"145","chiValues","Q38_Facilities.Issues...General",0.932533733133433
"146","scored_sub_Assoc.1.34.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4
"147","scored_sub_Bacca.1.34.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4
"148","scored_sub_Master.1.34.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4
"149","scored_sub_Doc.1.34.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",6
"150","chiValues","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",0.922538730634683
"151","scored_sub_Assoc.1.34.","Q38_Inst.Dept..Support...General",8
"152","scored_sub_Bacca.1.34.","Q38_Inst.Dept..Support...General",2
"153","scored_sub_Master.1.34.","Q38_Inst.Dept..Support...General",4
"154","scored_sub_Doc.1.34.","Q38_Inst.Dept..Support...General",3
"155","chiValues","Q38_Inst.Dept..Support...General",0.217891054472764
"156","scored_sub_Assoc.1.34.","Q38_Inst.Dept.Issues...Institutional.Inertia",0
"157","scored_sub_Bacca.1.34.","Q38_Inst.Dept.Issues...Institutional.Inertia",1
"158","scored_sub_Master.1.34.","Q38_Inst.Dept.Issues...Institutional.Inertia",1
"159","scored_sub_Doc.1.34.","Q38_Inst.Dept.Issues...Institutional.Inertia",1
"160","chiValues","Q38_Inst.Dept.Issues...Institutional.Inertia",1
"161","scored_sub_Assoc.1.34.","Q38_State.restrictions",1
"162","scored_sub_Bacca.1.34.","Q38_State.restrictions",0
"163","scored_sub_Master.1.34.","Q38_State.restrictions",0
"164","scored_sub_Doc.1.34.","Q38_State.restrictions",0
"165","chiValues","Q38_State.restrictions",1
"166","scored_sub_Assoc.1.34.","Q38_Not.accredited",1
"167","scored_sub_Bacca.1.34.","Q38_Not.accredited",0
"168","scored_sub_Master.1.34.","Q38_Not.accredited",0
"169","scored_sub_Doc.1.34.","Q38_Not.accredited",0
"170","chiValues","Q38_Not.accredited",1
